Camera_id,lat,lon,road,direction,gevi,timestamp
32,51.368674230966775,5.5250092653648375,A2,R,23-1965,2019-10-01 01:36:00
33,51.341170506177605,5.5599298970574,A2,R,23-1965,2019-10-01 01:39:00
34,51.316924704347066,5.601026544400256,A2,R,23-1965,2019-10-01 01:42:00
35,51.291396906428176,5.640349220786019,A2,R,23-1965,2019-10-01 01:45:00
36,51.28014660147918,5.685667286665984,A2,R,23-1965,2019-10-01 01:48:00
37,51.274873518454974,5.736933708367073,A2,R,23-1965,2019-10-01 01:51:00
38,51.25066007449745,5.776357210803911,A2,R,23-1965,2019-10-01 01:54:00
39,51.2214044023733,5.809237196936289,A2,R,23-1965,2019-10-01 01:57:00
40,51.190402897650955,5.838225489024749,A2,R,23-1965,2019-10-01 02:00:00
41,51.16713922238475,5.877882005906974,A2,R,23-1965,2019-10-01 02:03:00
42,51.13618538634204,5.896952817443291,A2,R,23-1965,2019-10-01 02:06:00
43,51.109717546938214,5.860313764943516,A2,R,23-1965,2019-10-01 02:09:00
44,51.080639642380625,5.827928987406574,A2,R,23-1965,2019-10-01 02:12:00
0,52.342711621569926,4.954537337711338,A1,T,33-1170,2019-10-01 00:30:00
1,52.33614298091175,4.992424034625123,A1,T,33-1170,2019-10-01 00:33:00
2,52.328044327372055,5.0488340911855065,A1,T,33-1170,2019-10-01 00:36:00
3,52.31564036205217,5.10363988252094,A1,T,33-1170,2019-10-01 00:39:00
4,52.3060198678849,5.157741077847399,A1,T,33-1170,2019-10-01 00:42:00
5,52.27729549409352,5.185966961506708,A1,T,33-1170,2019-10-01 00:45:00
6,52.24784240942309,5.214622572351147,A1,T,33-1170,2019-10-01 00:48:00
7,52.22445806786953,5.257704166371219,A1,T,33-1170,2019-10-01 00:51:00
8,52.21737184596493,5.314630776996294,A1,T,33-1170,2019-10-01 00:54:00
9,52.20778044543736,5.370981108090015,A1,T,33-1170,2019-10-01 00:57:00
10,52.185526801346775,5.414838024540301,A1,T,33-1170,2019-10-01 01:00:00
11,52.16662544085878,5.461559841335221,A1,T,33-1170,2019-10-01 01:03:00
12,52.162836896070935,5.519658174452968,A1,T,33-1170,2019-10-01 01:06:00
13,52.16837925759426,5.577306919659579,A1,T,33-1170,2019-10-01 01:09:00
14,52.17275504402442,5.635150321875247,A1,T,33-1170,2019-10-01 01:12:00
15,52.189204334734484,5.687135040650628,A1,T,33-1170,2019-10-01 01:15:00
16,52.19575735859624,5.74449775787518,A1,T,33-1170,2019-10-01 01:18:00
17,52.20313925552983,5.801681210289912,A1,T,33-1170,2019-10-01 01:21:00
18,52.1888158998698,5.851570413077417,A1,T,33-1170,2019-10-01 01:24:00
19,52.18296984678058,5.909218182451532,A1,T,33-1170,2019-10-01 01:27:00
20,52.17269231368532,5.964663190533766,A1,T,33-1170,2019-10-01 01:30:00
21,52.18634904708081,6.018105156857052,A1,T,33-1170,2019-10-01 01:33:00
22,52.203282693423986,6.069346223264269,A1,T,33-1170,2019-10-01 01:36:00
23,52.21722531429983,6.122920547563944,A1,T,33-1170,2019-10-01 01:39:00
24,52.23348120471514,6.174832038836778,A1,T,33-1170,2019-10-01 01:42:00
25,52.2380454243703,6.2328223796001065,A1,T,33-1170,2019-10-01 01:45:00
26,52.24328222324355,6.290632204518409,A1,T,33-1170,2019-10-01 01:48:00
27,52.24556530025641,6.348889960810882,A1,T,33-1170,2019-10-01 01:51:00
28,52.25051176537712,6.40654251715477,A1,T,33-1170,2019-10-01 01:54:00
29,52.26421491518722,6.459452457417964,A1,T,33-1170,2019-10-01 01:57:00
30,52.281710463790844,6.510210832508515,A1,T,33-1170,2019-10-01 02:00:00
31,52.28429095946139,6.567877600226447,A1,T,33-1170,2019-10-01 02:03:00
32,52.290222848617894,6.625048115560528,A1,T,33-1170,2019-10-01 02:06:00
33,52.304244749247516,6.678298950615762,A1,T,33-1170,2019-10-01 02:09:00
34,52.29752078936049,6.722776441235525,A1,T,33-1170,2019-10-01 02:12:00
35,52.28754821667147,6.772291127191299,A1,T,33-1170,2019-10-01 02:15:00
36,52.27726881203916,6.82597818422224,A1,T,33-1170,2019-10-01 02:18:00
37,52.292969928453466,6.876172768961251,A1,T,33-1170,2019-10-01 02:21:00
38,52.28815060515513,6.932514881803727,A1,T,33-1170,2019-10-01 02:24:00
39,52.30653537553508,6.981691519431046,A1,T,33-1170,2019-10-01 02:27:00
40,52.31276555025148,7.039107285945348,A1,T,33-1170,2019-10-01 02:30:00
0,51.55432336265267,4.820629237832744,A27,T,66-1689,2019-10-01 01:00:00
1,51.58964669731949,4.826672681271982,A27,T,66-1689,2019-10-01 01:03:00
2,51.61790666308333,4.861763096204342,A27,T,66-1689,2019-10-01 01:06:00
3,51.649970236202485,4.882296605520848,A27,T,66-1689,2019-10-01 01:09:00
4,51.685650776330576,4.883259301849425,A27,T,66-1689,2019-10-01 01:12:00
5,51.721177493799374,4.891050605484496,A27,T,66-1689,2019-10-01 01:15:00
6,51.75061869146828,4.922555376506167,A27,T,66-1689,2019-10-01 01:18:00
7,51.786121343477134,4.928525774969577,A27,T,66-1689,2019-10-01 01:21:00
8,51.821237422961474,4.940212674234574,A27,T,66-1689,2019-10-01 01:24:00
9,51.855985996303694,4.955001784164955,A27,T,66-1689,2019-10-01 01:27:00
10,51.88971464510481,4.9750734434935815,A27,T,66-1689,2019-10-01 01:30:00
11,51.92415319701087,4.99148744546492,A27,T,66-1689,2019-10-01 01:33:00
12,51.95390447979634,5.022464784524591,A27,T,66-1689,2019-10-01 01:36:00
13,51.958974406001346,5.079142544215585,A27,T,66-1689,2019-10-01 01:39:00
14,51.98859281062458,5.110171445012371,A27,T,66-1689,2019-10-01 01:42:00
15,52.02250210665817,5.12806426929892,A27,T,66-1689,2019-10-01 01:45:00
16,52.05661561461926,5.144596035226476,A27,T,66-1689,2019-10-01 01:48:00
17,52.08971475172033,5.161803318161233,A27,T,66-1689,2019-10-01 01:51:00
18,52.12393896834672,5.1469038573161665,A27,T,66-1689,2019-10-01 01:54:00
19,52.15754289663108,5.167586909886515,A27,T,66-1689,2019-10-01 01:57:00
20,52.19154040521395,5.1858292729602935,A27,T,66-1689,2019-10-01 02:00:00
21,52.21979540019851,5.219420653643648,A27,T,66-1689,2019-10-01 02:03:00
22,52.24941665113724,5.247295068644248,A27,T,66-1689,2019-10-01 02:06:00
23,52.28190234323417,5.270992122429899,A27,T,66-1689,2019-10-01 02:09:00
24,52.30457435453069,5.316119307706451,A27,T,66-1689,2019-10-01 02:12:00
25,52.33370829587899,5.347348280523865,A27,T,66-1689,2019-10-01 02:15:00
26,52.36476996272099,5.31985380266376,A27,T,66-1689,2019-10-01 02:18:00
0,52.342711621569926,4.954537337711338,A1,T,33-1090,2019-10-01 01:30:00
1,52.33614298091175,4.992424034625123,A1,T,33-1090,2019-10-01 01:33:00
2,52.328044327372055,5.0488340911855065,A1,T,33-1090,2019-10-01 01:36:00
3,52.31564036205217,5.10363988252094,A1,T,33-1090,2019-10-01 01:39:00
4,52.3060198678849,5.157741077847399,A1,T,33-1090,2019-10-01 01:42:00
5,52.27729549409352,5.185966961506708,A1,T,33-1090,2019-10-01 01:45:00
6,52.24784240942309,5.214622572351147,A1,T,33-1090,2019-10-01 01:48:00
7,52.22445806786953,5.257704166371219,A1,T,33-1090,2019-10-01 01:51:00
8,52.21737184596493,5.314630776996294,A1,T,33-1090,2019-10-01 01:54:00
9,52.20778044543736,5.370981108090015,A1,T,33-1090,2019-10-01 01:57:00
10,52.185526801346775,5.414838024540301,A1,T,33-1090,2019-10-01 02:00:00
11,52.16662544085878,5.461559841335221,A1,T,33-1090,2019-10-01 02:03:00
12,52.162836896070935,5.519658174452968,A1,T,33-1090,2019-10-01 02:06:00
13,52.16837925759426,5.577306919659579,A1,T,33-1090,2019-10-01 02:09:00
14,52.17275504402442,5.635150321875247,A1,T,33-1090,2019-10-01 02:12:00
15,52.189204334734484,5.687135040650628,A1,T,33-1090,2019-10-01 02:15:00
16,52.19575735859624,5.74449775787518,A1,T,33-1090,2019-10-01 02:18:00
17,52.20313925552983,5.801681210289912,A1,T,33-1090,2019-10-01 02:21:00
18,52.1888158998698,5.851570413077417,A1,T,33-1090,2019-10-01 02:24:00
19,52.18296984678058,5.909218182451532,A1,T,33-1090,2019-10-01 02:27:00
20,52.17269231368532,5.964663190533766,A1,T,33-1090,2019-10-01 02:30:00
21,52.18634904708081,6.018105156857052,A1,T,33-1090,2019-10-01 02:33:00
22,52.203282693423986,6.069346223264269,A1,T,33-1090,2019-10-01 02:36:00
23,52.21722531429983,6.122920547563944,A1,T,33-1090,2019-10-01 02:39:00
24,52.23348120471514,6.174832038836778,A1,T,33-1090,2019-10-01 02:42:00
25,52.2380454243703,6.2328223796001065,A1,T,33-1090,2019-10-01 02:45:00
26,52.24328222324355,6.290632204518409,A1,T,33-1090,2019-10-01 02:48:00
27,52.24556530025641,6.348889960810882,A1,T,33-1090,2019-10-01 02:51:00
28,52.25051176537712,6.40654251715477,A1,T,33-1090,2019-10-01 02:54:00
29,52.26421491518722,6.459452457417964,A1,T,33-1090,2019-10-01 02:57:00
30,52.281710463790844,6.510210832508515,A1,T,33-1090,2019-10-01 03:00:00
31,52.28429095946139,6.567877600226447,A1,T,33-1090,2019-10-01 03:03:00
32,52.290222848617894,6.625048115560528,A1,T,33-1090,2019-10-01 03:06:00
33,52.304244749247516,6.678298950615762,A1,T,33-1090,2019-10-01 03:09:00
34,52.29752078936049,6.722776441235525,A1,T,33-1090,2019-10-01 03:12:00
35,52.28754821667147,6.772291127191299,A1,T,33-1090,2019-10-01 03:15:00
36,52.27726881203916,6.82597818422224,A1,T,33-1090,2019-10-01 03:18:00
37,52.292969928453466,6.876172768961251,A1,T,33-1090,2019-10-01 03:21:00
38,52.28815060515513,6.932514881803727,A1,T,33-1090,2019-10-01 03:24:00
39,52.30653537553508,6.981691519431046,A1,T,33-1090,2019-10-01 03:27:00
40,52.31276555025148,7.039107285945348,A1,T,33-1090,2019-10-01 03:30:00
0,52.342711621569926,4.954537337711338,A1,T,33-1170,2019-10-01 02:00:00
1,52.33614298091175,4.992424034625123,A1,T,33-1170,2019-10-01 02:03:00
2,52.328044327372055,5.0488340911855065,A1,T,33-1170,2019-10-01 02:06:00
3,52.31564036205217,5.10363988252094,A1,T,33-1170,2019-10-01 02:09:00
4,52.3060198678849,5.157741077847399,A1,T,33-1170,2019-10-01 02:12:00
5,52.27729549409352,5.185966961506708,A1,T,33-1170,2019-10-01 02:15:00
6,52.24784240942309,5.214622572351147,A1,T,33-1170,2019-10-01 02:18:00
7,52.22445806786953,5.257704166371219,A1,T,33-1170,2019-10-01 02:21:00
8,52.21737184596493,5.314630776996294,A1,T,33-1170,2019-10-01 02:24:00
9,52.20778044543736,5.370981108090015,A1,T,33-1170,2019-10-01 02:27:00
10,52.185526801346775,5.414838024540301,A1,T,33-1170,2019-10-01 02:30:00
11,52.16662544085878,5.461559841335221,A1,T,33-1170,2019-10-01 02:33:00
12,52.162836896070935,5.519658174452968,A1,T,33-1170,2019-10-01 02:36:00
13,52.16837925759426,5.577306919659579,A1,T,33-1170,2019-10-01 02:39:00
14,52.17275504402442,5.635150321875247,A1,T,33-1170,2019-10-01 02:42:00
15,52.189204334734484,5.687135040650628,A1,T,33-1170,2019-10-01 02:45:00
16,52.19575735859624,5.74449775787518,A1,T,33-1170,2019-10-01 02:48:00
17,52.20313925552983,5.801681210289912,A1,T,33-1170,2019-10-01 02:51:00
18,52.1888158998698,5.851570413077417,A1,T,33-1170,2019-10-01 02:54:00
19,52.18296984678058,5.909218182451532,A1,T,33-1170,2019-10-01 02:57:00
20,52.17269231368532,5.964663190533766,A1,T,33-1170,2019-10-01 03:00:00
21,52.18634904708081,6.018105156857052,A1,T,33-1170,2019-10-01 03:03:00
22,52.203282693423986,6.069346223264269,A1,T,33-1170,2019-10-01 03:06:00
23,52.21722531429983,6.122920547563944,A1,T,33-1170,2019-10-01 03:09:00
24,52.23348120471514,6.174832038836778,A1,T,33-1170,2019-10-01 03:12:00
25,52.2380454243703,6.2328223796001065,A1,T,33-1170,2019-10-01 03:15:00
26,52.24328222324355,6.290632204518409,A1,T,33-1170,2019-10-01 03:18:00
27,52.24556530025641,6.348889960810882,A1,T,33-1170,2019-10-01 03:21:00
28,52.25051176537712,6.40654251715477,A1,T,33-1170,2019-10-01 03:24:00
29,52.26421491518722,6.459452457417964,A1,T,33-1170,2019-10-01 03:27:00
30,52.281710463790844,6.510210832508515,A1,T,33-1170,2019-10-01 03:30:00
31,52.28429095946139,6.567877600226447,A1,T,33-1170,2019-10-01 03:33:00
32,52.290222848617894,6.625048115560528,A1,T,33-1170,2019-10-01 03:36:00
33,52.304244749247516,6.678298950615762,A1,T,33-1170,2019-10-01 03:39:00
34,52.29752078936049,6.722776441235525,A1,T,33-1170,2019-10-01 03:42:00
35,52.28754821667147,6.772291127191299,A1,T,33-1170,2019-10-01 03:45:00
36,52.27726881203916,6.82597818422224,A1,T,33-1170,2019-10-01 03:48:00
37,52.292969928453466,6.876172768961251,A1,T,33-1170,2019-10-01 03:51:00
38,52.28815060515513,6.932514881803727,A1,T,33-1170,2019-10-01 03:54:00
39,52.30653537553508,6.981691519431046,A1,T,33-1170,2019-10-01 03:57:00
40,52.31276555025148,7.039107285945348,A1,T,33-1170,2019-10-01 04:00:00
0,52.088643431045824,5.147957130875199,A28,T,23-1965,2019-10-01 02:30:00
1,52.09442357317397,5.204428942076229,A28,T,23-1965,2019-10-01 02:33:00
2,52.10575429957768,5.2566172323571285,A28,T,23-1965,2019-10-01 02:36:00
3,52.11624025416406,5.312258408730089,A28,T,23-1965,2019-10-01 02:39:00
4,52.12881851771123,5.366421671192873,A28,T,23-1965,2019-10-01 02:42:00
5,52.14756373574786,5.41261553432368,A28,T,23-1965,2019-10-01 02:45:00
6,52.18061897136854,5.433812167101585,A28,T,23-1965,2019-10-01 02:48:00
7,52.21463880064445,5.447262143725295,A28,T,23-1965,2019-10-01 02:51:00
8,52.24353366026209,5.478804920434868,A28,T,23-1965,2019-10-01 02:54:00
9,52.26163053103832,5.529310493406185,A28,T,23-1965,2019-10-01 02:57:00
10,52.29461946145467,5.551582725606771,A28,T,23-1965,2019-10-01 03:00:00
11,52.32635966984739,5.578209489910057,A28,T,23-1965,2019-10-01 03:03:00
12,52.331658043697665,5.633398385272252,A28,T,23-1965,2019-10-01 03:06:00
13,52.34249228858288,5.6869458069186445,A28,T,23-1965,2019-10-01 03:09:00
14,52.35423183086334,5.741443263088138,A28,T,23-1965,2019-10-01 03:12:00
15,52.364104675574055,5.796811900948156,A28,T,23-1965,2019-10-01 03:15:00
16,52.38699586571482,5.83932992285462,A28,T,23-1965,2019-10-01 03:18:00
17,52.40839070230474,5.886278889455219,A28,T,23-1965,2019-10-01 03:21:00
18,52.4292245834295,5.93404386271062,A28,T,23-1965,2019-10-01 03:24:00
19,52.45198187763645,5.977103062438703,A28,T,23-1965,2019-10-01 03:27:00
20,52.48009931769483,6.011154523128218,A28,T,23-1965,2019-10-01 03:30:00
21,52.501769854674244,6.057833759935481,A28,T,23-1965,2019-10-01 03:33:00
22,52.52430989356224,6.102931484626528,A28,T,23-1965,2019-10-01 03:36:00
23,52.53500739863604,6.158228941982694,A28,T,23-1965,2019-10-01 03:39:00
24,52.567478729839344,6.182817308954352,A28,T,23-1965,2019-10-01 03:42:00
25,52.60115907752968,6.20340865855689,A28,T,23-1965,2019-10-01 03:45:00
26,52.636601936204,6.203796410860026,A28,T,23-1965,2019-10-01 03:48:00
27,52.67190921526283,6.201088789467718,A28,T,23-1965,2019-10-01 03:51:00
28,52.68560452888461,6.252383135839248,A28,T,23-1965,2019-10-01 03:54:00
29,52.67826640342339,6.310094096939907,A28,T,23-1965,2019-10-01 03:57:00
30,52.68189110387382,6.367568749281112,A28,T,23-1965,2019-10-01 04:00:00
31,52.700802692979494,6.416204700547774,A28,T,23-1965,2019-10-01 04:03:00
32,52.716706770261204,6.4644667973036185,A28,T,23-1965,2019-10-01 04:06:00
33,52.75172070452684,6.457007581964618,A28,T,23-1965,2019-10-01 04:09:00
34,52.786830112538965,6.447298693750352,A28,T,23-1965,2019-10-01 04:12:00
35,52.82050153080354,6.466656628391077,A28,T,23-1965,2019-10-01 04:15:00
36,52.85278296289987,6.492656797246252,A28,T,23-1965,2019-10-01 04:18:00
37,52.88409538258409,6.521015357676992,A28,T,23-1965,2019-10-01 04:21:00
38,52.91861746127095,6.531753829279199,A28,T,23-1965,2019-10-01 04:24:00
39,52.953883576696796,6.543107921843613,A28,T,23-1965,2019-10-01 04:27:00
40,52.985293713088126,6.526319873760081,A28,T,23-1965,2019-10-01 04:30:00
41,53.01710255092584,6.546448237818944,A28,T,23-1965,2019-10-01 04:33:00
42,53.0425096324569,6.5865605224182975,A28,T,23-1965,2019-10-01 04:36:00
43,53.07623000344299,6.6033306765759106,A28,T,23-1965,2019-10-01 04:39:00
44,53.11127303723011,6.6113417813259145,A28,T,23-1965,2019-10-01 04:42:00
45,53.14699150989382,6.605973049974509,A28,T,23-1965,2019-10-01 04:45:00
46,53.179102542887705,6.580616184816038,A28,T,23-1965,2019-10-01 04:48:00
0,52.342711621569926,4.954537337711338,A1,T,40-1334,2019-10-01 03:00:00
1,52.33614298091175,4.992424034625123,A1,T,40-1334,2019-10-01 03:03:00
2,52.328044327372055,5.0488340911855065,A1,T,40-1334,2019-10-01 03:06:00
3,52.31564036205217,5.10363988252094,A1,T,40-1334,2019-10-01 03:09:00
4,52.3060198678849,5.157741077847399,A1,T,40-1334,2019-10-01 03:12:00
5,52.27729549409352,5.185966961506708,A1,T,40-1334,2019-10-01 03:15:00
6,52.24784240942309,5.214622572351147,A1,T,40-1334,2019-10-01 03:18:00
7,52.22445806786953,5.257704166371219,A1,T,40-1334,2019-10-01 03:21:00
8,52.21737184596493,5.314630776996294,A1,T,40-1334,2019-10-01 03:24:00
9,52.20778044543736,5.370981108090015,A1,T,40-1334,2019-10-01 03:27:00
10,52.185526801346775,5.414838024540301,A1,T,40-1334,2019-10-01 03:30:00
11,52.16662544085878,5.461559841335221,A1,T,40-1334,2019-10-01 03:33:00
12,52.162836896070935,5.519658174452968,A1,T,40-1334,2019-10-01 03:36:00
13,52.16837925759426,5.577306919659579,A1,T,40-1334,2019-10-01 03:39:00
14,52.17275504402442,5.635150321875247,A1,T,40-1334,2019-10-01 03:42:00
15,52.189204334734484,5.687135040650628,A1,T,40-1334,2019-10-01 03:45:00
16,52.19575735859624,5.74449775787518,A1,T,40-1334,2019-10-01 03:48:00
17,52.20313925552983,5.801681210289912,A1,T,40-1334,2019-10-01 03:51:00
18,52.1888158998698,5.851570413077417,A1,T,40-1334,2019-10-01 03:54:00
19,52.18296984678058,5.909218182451532,A1,T,40-1334,2019-10-01 03:57:00
20,52.17269231368532,5.964663190533766,A1,T,40-1334,2019-10-01 04:00:00
21,52.18634904708081,6.018105156857052,A1,T,40-1334,2019-10-01 04:03:00
22,52.203282693423986,6.069346223264269,A1,T,40-1334,2019-10-01 04:06:00
23,52.21722531429983,6.122920547563944,A1,T,40-1334,2019-10-01 04:09:00
24,52.23348120471514,6.174832038836778,A1,T,40-1334,2019-10-01 04:12:00
25,52.2380454243703,6.2328223796001065,A1,T,40-1334,2019-10-01 04:15:00
26,52.24328222324355,6.290632204518409,A1,T,40-1334,2019-10-01 04:18:00
27,52.24556530025641,6.348889960810882,A1,T,40-1334,2019-10-01 04:21:00
28,52.25051176537712,6.40654251715477,A1,T,40-1334,2019-10-01 04:24:00
29,52.26421491518722,6.459452457417964,A1,T,40-1334,2019-10-01 04:27:00
30,52.281710463790844,6.510210832508515,A1,T,40-1334,2019-10-01 04:30:00
31,52.28429095946139,6.567877600226447,A1,T,40-1334,2019-10-01 04:33:00
32,52.290222848617894,6.625048115560528,A1,T,40-1334,2019-10-01 04:36:00
33,52.304244749247516,6.678298950615762,A1,T,40-1334,2019-10-01 04:39:00
34,52.29752078936049,6.722776441235525,A1,T,40-1334,2019-10-01 04:42:00
35,52.28754821667147,6.772291127191299,A1,T,40-1334,2019-10-01 04:45:00
36,52.27726881203916,6.82597818422224,A1,T,40-1334,2019-10-01 04:48:00
37,52.292969928453466,6.876172768961251,A1,T,40-1334,2019-10-01 04:51:00
38,52.28815060515513,6.932514881803727,A1,T,40-1334,2019-10-01 04:54:00
39,52.30653537553508,6.981691519431046,A1,T,40-1334,2019-10-01 04:57:00
40,52.31276555025148,7.039107285945348,A1,T,40-1334,2019-10-01 05:00:00
0,52.088643431045824,5.147957130875199,A28,T,239-1001,2019-10-01 03:30:00
1,52.09442357317397,5.204428942076229,A28,T,239-1001,2019-10-01 03:33:00
2,52.10575429957768,5.2566172323571285,A28,T,239-1001,2019-10-01 03:36:00
3,52.11624025416406,5.312258408730089,A28,T,239-1001,2019-10-01 03:39:00
4,52.12881851771123,5.366421671192873,A28,T,239-1001,2019-10-01 03:42:00
5,52.14756373574786,5.41261553432368,A28,T,239-1001,2019-10-01 03:45:00
6,52.18061897136854,5.433812167101585,A28,T,239-1001,2019-10-01 03:48:00
7,52.21463880064445,5.447262143725295,A28,T,239-1001,2019-10-01 03:51:00
8,52.24353366026209,5.478804920434868,A28,T,239-1001,2019-10-01 03:54:00
9,52.26163053103832,5.529310493406185,A28,T,239-1001,2019-10-01 03:57:00
10,52.29461946145467,5.551582725606771,A28,T,239-1001,2019-10-01 04:00:00
11,52.32635966984739,5.578209489910057,A28,T,239-1001,2019-10-01 04:03:00
12,52.331658043697665,5.633398385272252,A28,T,239-1001,2019-10-01 04:06:00
13,52.34249228858288,5.6869458069186445,A28,T,239-1001,2019-10-01 04:09:00
14,52.35423183086334,5.741443263088138,A28,T,239-1001,2019-10-01 04:12:00
15,52.364104675574055,5.796811900948156,A28,T,239-1001,2019-10-01 04:15:00
16,52.38699586571482,5.83932992285462,A28,T,239-1001,2019-10-01 04:18:00
17,52.40839070230474,5.886278889455219,A28,T,239-1001,2019-10-01 04:21:00
18,52.4292245834295,5.93404386271062,A28,T,239-1001,2019-10-01 04:24:00
19,52.45198187763645,5.977103062438703,A28,T,239-1001,2019-10-01 04:27:00
20,52.48009931769483,6.011154523128218,A28,T,239-1001,2019-10-01 04:30:00
21,52.501769854674244,6.057833759935481,A28,T,239-1001,2019-10-01 04:33:00
22,52.52430989356224,6.102931484626528,A28,T,239-1001,2019-10-01 04:36:00
23,52.53500739863604,6.158228941982694,A28,T,239-1001,2019-10-01 04:39:00
24,52.567478729839344,6.182817308954352,A28,T,239-1001,2019-10-01 04:42:00
25,52.60115907752968,6.20340865855689,A28,T,239-1001,2019-10-01 04:45:00
26,52.636601936204,6.203796410860026,A28,T,239-1001,2019-10-01 04:48:00
27,52.67190921526283,6.201088789467718,A28,T,239-1001,2019-10-01 04:51:00
28,52.68560452888461,6.252383135839248,A28,T,239-1001,2019-10-01 04:54:00
29,52.67826640342339,6.310094096939907,A28,T,239-1001,2019-10-01 04:57:00
30,52.68189110387382,6.367568749281112,A28,T,239-1001,2019-10-01 05:00:00
31,52.700802692979494,6.416204700547774,A28,T,239-1001,2019-10-01 05:03:00
32,52.716706770261204,6.4644667973036185,A28,T,239-1001,2019-10-01 05:06:00
33,52.75172070452684,6.457007581964618,A28,T,239-1001,2019-10-01 05:09:00
34,52.786830112538965,6.447298693750352,A28,T,239-1001,2019-10-01 05:12:00
35,52.82050153080354,6.466656628391077,A28,T,239-1001,2019-10-01 05:15:00
36,52.85278296289987,6.492656797246252,A28,T,239-1001,2019-10-01 05:18:00
37,52.88409538258409,6.521015357676992,A28,T,239-1001,2019-10-01 05:21:00
38,52.91861746127095,6.531753829279199,A28,T,239-1001,2019-10-01 05:24:00
39,52.953883576696796,6.543107921843613,A28,T,239-1001,2019-10-01 05:27:00
40,52.985293713088126,6.526319873760081,A28,T,239-1001,2019-10-01 05:30:00
41,53.01710255092584,6.546448237818944,A28,T,239-1001,2019-10-01 05:33:00
42,53.0425096324569,6.5865605224182975,A28,T,239-1001,2019-10-01 05:36:00
43,53.07623000344299,6.6033306765759106,A28,T,239-1001,2019-10-01 05:39:00
44,53.11127303723011,6.6113417813259145,A28,T,239-1001,2019-10-01 05:42:00
45,53.14699150989382,6.605973049974509,A28,T,239-1001,2019-10-01 05:45:00
46,53.179102542887705,6.580616184816038,A28,T,239-1001,2019-10-01 05:48:00
0,51.93357332895813,4.087537781564921,A15,T,66-1689,2019-10-01 04:00:00
1,51.934941573278635,4.1348035306209185,A15,T,66-1689,2019-10-01 04:03:00
2,51.918997675352436,4.179976334059928,A15,T,66-1689,2019-10-01 04:06:00
3,51.90043001069711,4.2279897855954545,A15,T,66-1689,2019-10-01 04:09:00
4,51.87955939587113,4.261546324911099,A15,T,66-1689,2019-10-01 04:12:00
5,51.86885967413777,4.308234066524047,A15,T,66-1689,2019-10-01 04:15:00
6,51.876118396715356,4.364577878930338,A15,T,66-1689,2019-10-01 04:18:00
7,51.87215810027676,4.421711334130788,A15,T,66-1689,2019-10-01 04:21:00
8,51.862303048948846,4.4768735340031105,A15,T,66-1689,2019-10-01 04:24:00
